k,file,runtime,nRuns
3,ulisses16.mfp,2.883619,1734
4,ulisses16.mfp,3.976983,1258
5,ulisses16.mfp,4.335083,1154
3,berlin52-3.mfp,76.444622,66
4,berlin52-3.mfp,95.896676,53
5,berlin52-3.mfp,118.276061,43
3,berlin52-2.mfp,156.702746,32
4,berlin52-2.mfp,215.642000,24
5,berlin52-2.mfp,288.725645,18
3,berlin52-1.mfp,538.130960,10
4,berlin52-1.mfp,837.288677,6
5,berlin52-1.mfp,1056.446167,5
3,lin105-3.mfp,661.203018,8
4,lin105-3.mfp,863.691331,6
5,lin105-3.mfp,1057.015391,5
3,lin105-2.mfp,7080.605445,
4,lin105-2.mfp,9801.079454,1
5,lin105-2.mfp,11911.578589,1
3,lin105-1.mfp,38996.670540,1
4,lin105-1.mfp,52505.507682,1
5,lin105-1.mfp,61487.246018,1
3,lin318-3.mfp,115672.223858,1
4,lin318-3.mfp,140978.913271,1
5,lin318-3.mfp,169065.159024,1
3,lin318-2.mfp,3766547.937447,1
4,lin318-2.mfp,5564086.517839,1
5,lin318-2.mfp,7398078.095261,1
3,lin318-1.mfp,14936918.275507,1
4,lin318-1.mfp,22262596.116197,1
5,lin318-1.mfp,29473945.306945,1
